GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_002,ru.job4j.chess,Board,538,0,26,0,82,0,22,0,9,0
chapter_002,ru.job4j.chess,Cell,60,0,10,0,17,0,10,0,5,0
chapter_002,ru.job4j.strategy,Triangle,0,18,0,0,0,7,0,2,0,2
chapter_002,ru.job4j.strategy,Square,0,18,0,0,0,7,0,2,0,2
chapter_002,ru.job4j.strategy,Paint,0,13,0,0,0,5,0,3,0,3
chapter_002,ru.job4j.chess.exceptions,ImpossibleMoveException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.chess.exceptions,FigureNotFoundException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.chess.exceptions,OccupiedWayException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.application,StubInput,20,0,0,0,6,0,3,0,3,0
chapter_002,ru.job4j.application,MenuTracker.EditItem,88,0,8,0,16,0,6,0,2,0
chapter_002,ru.job4j.application,MenuTracker.AddItem,79,0,8,0,14,0,6,0,2,0
chapter_002,ru.job4j.application,MenuTracker,242,0,12,0,41,0,14,0,8,0
chapter_002,ru.job4j.application,MenuOutException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.application,ConsoleInput,51,0,6,0,14,0,6,0,3,0
chapter_002,ru.job4j.application,Comment,35,0,0,0,14,0,7,0,7,0
chapter_002,ru.job4j.application,MenuTracker.DeleteItem,79,0,10,0,14,0,7,0,2,0
chapter_002,ru.job4j.application,MenuTracker.FindItemById,104,0,12,0,18,0,8,0,2,0
chapter_002,ru.job4j.application,MenuTracker.ShowItems,92,0,10,0,15,0,7,0,2,0
chapter_002,ru.job4j.application,MenuTracker.FindItemByName,106,0,14,0,19,0,9,0,2,0
chapter_002,ru.job4j.application,ValidateInput,28,0,2,0,12,0,3,0,2,0
chapter_002,ru.job4j.application,BaseAction,28,0,0,0,6,0,3,0,3,0
chapter_002,ru.job4j.application,Item,96,0,12,0,26,0,16,0,10,0
chapter_002,ru.job4j.application,StartUI,186,0,18,0,34,0,13,0,4,0
chapter_002,ru.job4j.inheritance,Equipment,10,0,0,0,4,0,3,0,3,0
chapter_002,ru.job4j.inheritance,Teacher,43,0,0,0,3,0,3,0,3,0
chapter_002,ru.job4j.inheritance,Doctor,18,0,0,0,2,0,2,0,2,0
chapter_002,ru.job4j.inheritance,Disease,0,10,0,0,0,4,0,3,0,3
chapter_002,ru.job4j.inheritance,Discipline,0,10,0,0,0,4,0,3,0,3
chapter_002,ru.job4j.inheritance,Engineer,18,0,0,0,2,0,2,0,2,0
chapter_002,ru.job4j.inheritance,Profession,31,0,0,0,13,0,9,0,9,0
chapter_002,ru.job4j.chess.figures,Pawn,49,0,4,0,13,0,5,0,3,0
chapter_002,ru.job4j.chess.figures,Rook,132,0,20,0,26,0,13,0,3,0
chapter_002,ru.job4j.chess.figures,Bishop,13,0,0,0,4,0,3,0,3,0
chapter_002,ru.job4j.chess.figures,Queen,13,0,0,0,4,0,3,0,3,0
chapter_002,ru.job4j.chess.figures,Figure,54,0,8,0,15,0,7,0,3,0
chapter_002,ru.job4j.chess.figures,Knight,13,0,0,0,4,0,3,0,3,0
chapter_002,ru.job4j.chess.figures,King,13,0,0,0,4,0,3,0,3,0
chapter_002,ru.job4j,Exchange,0,90,0,8,0,17,0,7,0,3
