GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.household,PopulationStatisticsHouseholdClient,120,0,0,0,26,0,9,0,9,0
scb-java-client,com.github.dannil.scbjavaclient.http,HttpResponse,44,15,4,0,9,6,3,3,1,3
scb-java-client,com.github.dannil.scbjavaclient.http,RequestMethod,0,24,0,0,0,3,0,1,0,1
scb-java-client,com.github.dannil.scbjavaclient.http,URLEndpoint,7,141,0,8,1,29,1,14,1,10
scb-java-client,com.github.dannil.scbjavaclient.http,HttpStatusCode,0,107,0,4,0,13,0,8,0,6
scb-java-client,com.github.dannil.scbjavaclient.client.energy,EnergyClient,36,0,0,0,10,0,5,0,5,0
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.ppi.spin2002month,PricesAndConsumptionPPISPIN2002MonthClient,97,0,0,0,21,0,16,0,16,0
scb-java-client,com.github.dannil.scbjavaclient.client.environment.seea,EnvironmentSEEAClient,69,0,0,0,16,0,8,0,8,0
scb-java-client,com.github.dannil.scbjavaclient.client.environment.protectednature.populationandaccessibility,EnvironmentProtectedNaturePopulationAndAccessibilityClient,60,0,0,0,15,0,7,0,7,0
scb-java-client,com.github.dannil.scbjavaclient.client.publicfinances.annualaccounts.balancesheetcounty,PublicFinancesAnnualAccountsBalanceSheetCountyClient,162,0,0,0,35,0,13,0,13,0
scb-java-client,com.github.dannil.scbjavaclient.client.agriculture.livestock,AgricultureLivestockClient,72,0,0,0,17,0,7,0,7,0
scb-java-client,com.github.dannil.scbjavaclient.client.environment.protectednature.numberandarea,EnvironmentProtectedNatureNumberAndAreaClient,192,0,0,0,42,0,17,0,17,0
