GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RobotEV3,de.fhg.iais.roberta.mode.action.ev3,ShowPicture,5,115,0,0,0,10,1,4,1,4
RobotEV3,de.fhg.iais.roberta.syntax.codegen.ev3,PythonVisitor.new Object() {...},63,431,0,0,0,13,0,1,0,1
RobotEV3,de.fhg.iais.roberta.syntax.codegen.ev3,PythonVisitor,1704,1529,134,70,321,266,136,57,30,38
RobotEV3,de.fhg.iais.roberta.syntax.codegen.ev3,JavaVisitor,222,3190,47,133,48,535,50,131,4,68
RobotEV3,de.fhg.iais.roberta.syntax.codegen.ev3,SimulationVisitor,365,641,37,19,71,116,38,27,11,20
RobotEV3,de.fhg.iais.roberta.syntax.codegen.ev3,SimulationVisitor.new Object() {...},107,0,0,0,2,0,1,0,1,0
RobotEV3,de.fhg.iais.roberta.syntax.codegen.ev3,JavaVisitor.new Object() {...},51,351,0,0,0,11,0,1,0,1
RobotEV3,de.fhg.iais.roberta.transformer.ev3,Jaxb2Ev3ConfigurationTransformer,578,0,36,0,104,0,30,0,10,0
RobotEV3,de.fhg.iais.roberta.syntax.check.hardware.ev3,UsedHardwareCollectorVisitor,2,77,0,4,1,21,1,9,1,7
RobotEV3,de.fhg.iais.roberta.syntax.check.program.ev3,SimulationCheckVisitor,20,0,0,0,7,0,3,0,3,0
RobotEV3,de.fhg.iais.roberta.syntax.check.program.ev3,BrickCheckVisitor,70,4,14,0,15,2,10,1,3,1
RobotEV3,de.fhg.iais.roberta.factory.ev3.dev,Factory,14,0,0,0,4,0,2,0,2,0
RobotEV3,de.fhg.iais.roberta.factory.ev3.dev,CompilerWorkflow,66,0,2,0,17,0,7,0,6,0
RobotEV3,de.fhg.iais.roberta.factory.ev3,Ev3SimCompilerWorkflow,36,7,2,0,11,3,6,2,5,2
RobotEV3,de.fhg.iais.roberta.factory.ev3,Ev3GuiceModule,22,0,0,0,9,0,3,0,3,0
RobotEV3,de.fhg.iais.roberta.javaServer.restServices.robot.ev3.lejos.v0,Update,190,0,0,0,39,0,7,0,7,0
RobotEV3,de.fhg.iais.roberta.javaServer.restServices.robot.ev3.lejos.v1,Update,154,0,0,0,32,0,6,0,6,0
RobotEV3,de.fhg.iais.roberta.factory.ev3.lejos.v1,Factory,5,0,0,0,2,0,1,0,1,0
RobotEV3,de.fhg.iais.roberta.factory.ev3.lejos,CompilerWorkflow,85,13,2,0,17,5,5,2,4,2
RobotEV3,de.fhg.iais.roberta.factory.ev3.lejos,EV3AbstractFactory,141,83,8,0,21,15,24,4,20,4
RobotEV3,de.fhg.iais.roberta.components.ev3,JavaSourceCompiler,147,193,3,3,31,36,7,8,4,8
RobotEV3,de.fhg.iais.roberta.components.ev3,CustomJavaFileManager,12,9,0,0,3,3,2,2,2,2
RobotEV3,de.fhg.iais.roberta.components.ev3,EV3Configuration,226,77,24,10,42,22,14,11,1,7
RobotEV3,de.fhg.iais.roberta.components.ev3,CompilerFeedback,54,43,4,4,7,9,4,4,1,3
RobotEV3,de.fhg.iais.roberta.components.ev3,CustomJavaFileManager.new SecureClassLoader() {...},16,6,0,0,2,1,1,1,1,1
RobotEV3,de.fhg.iais.roberta.components.ev3,ClassJavaFileObject,31,0,0,0,5,0,3,0,3,0
RobotEV3,de.fhg.iais.roberta.components.ev3,EV3Configuration.Builder,69,51,4,0,9,12,5,6,3,6
RobotEV3,de.fhg.iais.roberta.components.ev3,CompilerFeedback.CompilerMessage,130,187,9,9,19,37,11,2,3,1
RobotEV3,de.fhg.iais.roberta.components.ev3,SourceJavaFileObject,0,25,0,0,0,4,0,2,0,2
RobotEV3,de.fhg.iais.roberta.factory.ev3.lejos.v0,Factory,0,5,0,0,0,2,0,1,0,1
