GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring security cas extension,com.kakawait.spring.security.cas.client.ticket,AttributePrincipalProxyTicketProvider,0,35,0,2,0,9,0,3,0,2
Spring security cas extension,com.kakawait.spring.security.cas.web.authentication,DefaultProxyCallbackAndServiceAuthenticationDetails,1,74,1,5,0,20,1,6,0,4
Spring security cas extension,com.kakawait.spring.security.cas.web.authentication,ProxyCallbackAndServiceAuthenticationDetailsSource,0,19,0,0,0,5,0,2,0,2
Spring security cas extension,com.kakawait.spring.security.cas.web.authentication,CasLogoutSuccessHandler,6,52,1,1,2,14,1,5,0,5
Spring security cas extension,com.kakawait.spring.security.cas.web.authentication,RequestAwareCasLogoutSuccessHandler,0,20,0,0,0,5,0,2,0,2
Spring security cas extension,com.kakawait.spring.security.cas.client,CasAuthorizationInterceptor,0,59,0,2,0,14,0,3,0,2
Spring security cas extension,com.kakawait.spring.security.cas.client,CasAuthorizationInterceptor.new HttpRequestWrapper() {...},0,13,0,0,0,2,0,2,0,2
Spring security cas extension,com.kakawait.spring.security.cas.web,RequestAwareCasAuthenticationEntryPoint,0,57,0,2,0,14,0,5,0,4
Spring security cas extension,com.kakawait.spring.security.cas.userdetails,GrantedAuthoritiesFromAssertionAttributesWithDefaultRolesUserDetailsService,10,102,3,7,0,20,3,8,0,6
Spring security cas extension,com.kakawait.spring.security.cas.client.validation,SecurityContextHolderAssertionProvider,0,34,0,0,0,8,0,4,0,4
Spring security cas extension,com.kakawait.spring.security.cas.authentication,DynamicProxyCallbackUrlCasAuthenticationProvider,0,25,0,4,0,7,0,4,0,2
Spring security cas extension,com.kakawait.spring.security.cas,LaxServiceProperties,3,25,0,2,1,10,0,5,0,4
