GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_007,ru.job4j.optimization,SimpleTransformer.new DefaultHandler() {...},24,0,2,0,4,0,3,0,2,0
chapter_007,ru.job4j.optimization,SimpleTransformer,207,0,12,0,49,0,14,0,8,0
chapter_007,ru.job4j.optimization,Entry,10,0,0,0,5,0,3,0,3,0
chapter_007,ru.job4j.optimization,Entries,15,0,0,0,6,0,3,0,3,0
chapter_007,ru.job4j.parser,Parser,412,0,42,0,84,0,27,0,6,0
chapter_007,ru.job4j.parser,Launcher,28,0,0,0,9,0,3,0,3,0
chapter_007,ru.job4j.parser,DataBase,312,0,34,0,46,0,23,0,6,0
chapter_007,ru.job4j.parser,JobOffer,56,0,10,0,11,0,8,0,3,0
