GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_003,ru.job4j.user,UserConvert,0,27,0,2,0,6,0,3,0,2
chapter_003,ru.job4j.user,User,49,58,15,7,8,14,12,5,1,5
chapter_003,ru.job4j.directory,UnitsSorting.new Comparator() {...},0,10,0,0,0,2,0,2,0,2
chapter_003,ru.job4j.directory,UnitsSorting.new Comparator() {...},0,40,0,4,0,10,0,4,0,2
chapter_003,ru.job4j.directory,UnitsSorting,0,81,0,2,0,13,0,5,0,4
chapter_003,ru.job4j.sort,SortUser.new Comparator() {...},0,15,0,0,0,2,0,2,0,2
chapter_003,ru.job4j.sort,SortUser.new Comparator() {...},0,24,0,2,0,4,0,3,0,2
chapter_003,ru.job4j.sort,User,44,39,4,4,8,11,7,4,3,4
chapter_003,ru.job4j.sort,SortUser,10,19,0,0,3,5,1,3,1,3
chapter_003,ru.job4j.collections,CollectionsEditing,73,0,4,0,17,0,6,0,4,0
chapter_003,ru.job4j.collections,ConvertList,6,141,2,16,3,25,2,11,0,4
chapter_003,ru.job4j.bank,User,58,29,8,0,10,9,7,4,3,4
chapter_003,ru.job4j.bank,Account,72,21,7,1,14,9,8,4,4,4
chapter_003,ru.job4j.bank,AccountManagement,0,161,9,9,0,36,9,8,0,8
