GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_006,ru.job4j.threads,ShowCountersOutput,32,0,0,0,10,0,2,0,2,0
chapter_006,ru.job4j.threads,ShowCharCounterOutput,24,0,0,0,6,0,2,0,2,0
chapter_006,ru.job4j.threads,CharCounter,101,0,16,0,15,0,10,0,2,0
chapter_006,ru.job4j.threads,WordsCounter,91,0,10,0,13,0,7,0,2,0
chapter_006,ru.job4j.threads,SpacesCounter,98,0,14,0,15,0,9,0,2,0
chapter_006,ru.job4j.threads,Timer,20,0,0,0,10,0,2,0,2,0
chapter_006,ru.job4j.jmm,SynchronizationProblem,23,0,2,0,10,0,4,0,3,0
chapter_006,ru.job4j.storage,User,59,24,9,1,6,10,7,5,2,5
chapter_006,ru.job4j.storage,UserStorage,14,100,3,3,1,19,4,7,1,7
chapter_006,ru.job4j.search,ParallelSearch.new Thread() {...},67,0,0,0,9,0,2,0,2,0
chapter_006,ru.job4j.search,ParallelSearch,71,0,6,0,20,0,6,0,3,0
chapter_006,ru.job4j.search,ParallelSearch.new Thread() {...},47,0,8,0,11,0,6,0,2,0
chapter_006,ru.job4j,SimpleLock,39,0,6,0,14,0,6,0,3,0
chapter_006,ru.job4j,ThreadPool,51,0,4,0,14,0,6,0,4,0
chapter_006,ru.job4j,Count,0,13,0,0,0,4,0,3,0,3
chapter_006,ru.job4j,ThreadPool.Worker,31,0,4,0,7,0,4,0,2,0
chapter_006,ru.job4j,ThreadPool.Worker.new TimerTask() {...},13,0,0,0,3,0,2,0,2,0
chapter_006,ru.job4j.concurrent,ConcurrentDynamicList,25,84,6,4,7,16,5,5,1,4
chapter_006,ru.job4j.concurrent,SimpleBlockingQueue,67,0,4,0,18,0,5,0,3,0
chapter_006,ru.job4j.concurrent,ConcurrentSinglyLinkedList,80,172,7,17,15,43,8,14,3,7
chapter_006,ru.job4j.concurrent,ConcurrentDynamicList.new Iterator() {...},9,50,4,4,2,9,4,4,0,4
chapter_006,ru.job4j.concurrent,ConcurrentSinglyLinkedList.Node,19,12,0,0,1,5,1,1,1,1
chapter_006,ru.job4j.concurrent,ConcurrentSinglyLinkedList.new Iterator() {...},9,45,3,3,2,11,3,4,0,4
chapter_006,ru.job4j.bomberman,Player,425,0,32,0,53,0,24,0,8,0
chapter_006,ru.job4j.bomberman,Game,54,0,2,0,15,0,5,0,4,0
chapter_006,ru.job4j.bomberman,Monster,343,0,24,0,36,0,16,0,4,0
chapter_006,ru.job4j.bomberman,Field,37,0,4,0,8,0,4,0,2,0
chapter_006,ru.job4j.cache,OptimisticException,4,0,0,0,2,0,1,0,1,0
chapter_006,ru.job4j.cache,Task,91,41,11,1,13,15,9,6,3,6
chapter_006,ru.job4j.cache,NonBlockingCache,18,73,2,2,2,12,3,6,1,6
